,SUBMITTED_DATE,CASE_NO,PROGRAM_DESIGNATION,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_COUNTY,EMPLOYER_POSTAL_CODE,NBR_IMMIGRANTS,BEGIN_DATE,END_DATE,JOB_TITLE,DOL_DECISION_DATE,OCCUPATIONAL_CODE,OCCUPATIONAL_TITLE,APPROVAL_STATUS,WAGE_RATE_1,RATE_PER_1,MAX_RATE_1,PART_TIME_1,CITY_1,STATE_1,PREVAILING_WAGE_1,WAGE_SOURCE_1,YR_SOURCE_PUB_1,OTHER_WAGE_SOURCE_1,WAGE_RATE__2,RATE_PER_2,MAX_RATE_2,PART_TIME_2,CITY_2,STATE_2,PREVAILING_WAGE_2,WAGE_SOURCE_2,YR_SOURCE_PUB_2,OTHER_WAGE_SOURCE_2,WITHDRAWN
102899,2009-03-05,I-09063-4723613,R,COLORADO STATE UNIVERSITY,INTERNATIONAL PROGRAMS,LAUREL HALL,FORT COLLINS,CO,,80523-1024,1,2009-07-01,2012-06-30,ASSISTANT PROFESSOR,2009-03-05,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,76000,YR,,N,FORT COLLINS,CO,36190,SESA,,,,,,,,,,,,,N
140260,2009-03-20,I-09049-4681869,R,NATIONAL STEEL AND SHIPBUILDING COMPANY,2798 EAST HARBOR DRIVE,,SAN DIEGO,CA,SAN DIEGO,92113,1,2009-03-20,2010-09-30,PLANNER/SCHEDULER,2009-03-20,14.0,MARINE ENGINEERING OCCUPATIONS,CERTIFIED,62670,YR,,N,SAN DIEGO,CA,62670,Other,2009.0,OES,,,,,,,,,,,Y
124891,2009-03-17,I-09076-4773875,A,MICROSOFT CORPORATION,ONE MICROSOFT WAY,,REDMOND,WA,KING,98052,1,2009-07-06,2011-07-06,SENIOR SOFTWARE DEVELOPMENT ENGINEER,2009-03-17,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,125000,YR,,N,REDMOND,WA,94203,SESA,,,,,,,,,,,,,N
78787,2009-02-13,I-09044-4671483,R,"MOTOROLA, INC.",1303 EAST ALGONQUIN ROAD,3RD FLOOR,SCHAUMBURG,IL,COOK,60196,1,2009-08-13,2012-08-13,SOFTWARE ENGINEER,2009-02-13,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,51707,YR,74000.0,N,PHILADELPHIA METRO AREA ANALYSIS,PA,51707,Other,2007.0,DIETRICH ASSOCIATES INC.,,,,,,,,,,,N
261464,2009-06-29,I-09169-5024727,R,"ALLIED ELECTRONICS, INC.",7151 JACK NEWELL DR. S.,,FORT WORTH,TX,TARRANT,76118,1,2009-10-15,2012-10-14,OPERATIONS ENGINEER,2009-06-29,12.0,INDUSTRIAL ENGINEERING OCCUPATIONS,CERTIFIED,68000,YR,,N,FORT WORTH,TX,51834,Other,2008.0,ONLINE FLC DATA CENTER,,,,,,,,,,,N
170368,2009-03-30,I-09089-4859303,R,LEEWARD INTERNATIONAL INC,21 W. 38TH STREET 11TH FL.,,NEW YORK,NY,NEW YORK,10018,1,2009-09-25,2012-09-24,MANAGEMENT ACCOUNTANT,2009-03-30,160.0,"ACCOUNTANT, AUDITORS, AND RELATED OCCUPATIONS",CERTIFIED,24,HR,,Y,NEW YORK,NY,24,Other,2008.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
72045,2009-02-05,I-09036-4658241,R,"EBUSINESSWARE, INC.",14 WALL STREET,SUITE 5E,NEW YORK,NY,NEW YORK,10005,1,2009-08-05,2012-08-04,COMPUTER PROGRAMMER,2009-02-05,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,50000,YR,,N,MALVERN,PA,46072,Other,2008.0,ONLINE WAGE LIBRARY,50000.0,yr,,N,NEW YORK,NY,48776.0,Other,2008.0,Online Wage Library,N
223286,2009-05-13,I-09133-4965047,R,THE UNIVERSITY OF TEXAS M.D. ANDERSON CANCER CTR.,VISA & IMMIGRATION SERVICES ADMINISTRATION,"1400 PRESSLER ST., SUITE 6.500",HOUSTON,TX,,77030-4009,1,2009-09-03,2012-09-03,SR. RESEARCH ASSISTANT,2009-05-13,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,38111,YR,,N,HOUSTON,TX,27893,SESA,,,,,,,,,,,,,N
30789,2008-11-20,I-08325-4572361,R,"ITECH US, INC.",20 KIMBALL AVENUE,SUITE 303 NORTH,SOUTH BURLINGTON,VT,CHITTENDEN,5403,1,2008-11-20,2011-11-20,PROGRAMMER ANALYST,2008-11-20,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,60000,YR,,N,TOPEKA,KS,53165,Other,2008.0,OES ONLINE WAGE LIBRARY,60000.0,yr,,N,SOUTH BURLINGTON,VT,59280.0,Other,2008.0,OES Online Wage Library,Y
164000,2009-03-27,I-09086-4847259,R,INSURENT AGENCY CORPORATION,11 E 44TH STREET,,NEW YORK,NY,NEW YORK,10017,1,2009-09-25,2012-09-24,JAVA PROGRAMMER ANALYST,2009-03-27,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,57000,YR,,N,NEW YORK,NY,48776,Other,2009.0,OES,,,,,,,,,,,N
190663,2009-04-08,I-09098-4898793,R,CADDO PARISH SCHOOL BOARD,1961 MIDWAY STREET,,SHREVEPORT,LA,CADDO,71108,1,2009-08-30,2010-08-30,TEACHER,2009-04-08,92.0,OCCUPATIONS IN PRESCHOOL PRIMARY SCHOOL AND KINDERGARTEN EDUCATION,CERTIFIED,38145,YR,,N,SHREVEPORT,LA,38145,Other,2009.0,EMPLOYER'S SURVEY,,,,,,,,,,,Y
140186,2009-03-20,I-09077-4788231,R,CARIBBEAN FINANCIAL GROUP INC.,20803 BISCAYNE BLVD,SUITE 503,AVENTURA,FL,MIAMI-DADE,33180,1,2009-09-01,2012-09-01,BUSINESS SYSTEMS MANAGER,2009-03-20,32.0,OCCUPATIONS IN COMPUTER SYSTEM USER SUPPORT,CERTIFIED,75000,YR,,N,AVENTURA,FL,6146,SESA,,,75000.0,yr,,N,SAN JUAN,PR,64334.0,SESA,,,N
162416,2009-03-27,I-09085-4838811,R,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,,BRONX,NY,BRONX,10467,1,2009-07-01,2012-06-30,ATTENDING PHYSICIAN,2009-03-27,70.0,PHYSICIANS AND SURGEONS,CERTIFIED,125000,YR,,N,NEW YORK,NY,91270,Other,2008.0,OES,,,,,,,,,,,Y
64358,2009-01-27,I-09014-4625759,R,WALMART.COM,7000 MARINA BOULEVARD,,BRISBANE,CA,SAN MATEO,94005,1,2009-05-16,2012-05-16,SOFTWARE ENGINEER III,2009-01-27,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,88691,YR,,N,BRISBANE,CA,85717,Other,2008.0,OES WAGE DATA SURVEY,,,,,,,,,,,N
225604,2009-05-14,I-09134-4969627,R,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",900 UNIVERSITY AVENUE,SURGE BUILDING 0390,RIVERSIDE,CA,,92521-0307,1,2009-09-01,2010-08-31,POSTDOCTORAL SCHOLAR,2009-05-14,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,41496,YR,,N,BATAVIA,IL,41496,Other,2009.0,OES,41496.0,yr,,N,RIVERSIDE,CA,41496.0,Other,2009.0,OES,N
179432,2009-03-31,I-09090-4875815,R,"JH GROUP, LLC",6281 BEACH BLVD,#156,BUENA PARK,CA,ORANGE,90621,1,2009-09-30,2012-09-30,ACCOUNTANT,2009-03-31,160.0,"ACCOUNTANT, AUDITORS, AND RELATED OCCUPATIONS",CERTIFIED,34000,YR,,N,BUENA PARK,CA,34000,Other,2009.0,EMPLOYER SURVEY,,,,,,,,,,,N
82560,2009-02-18,I-09049-4681147,R,"INTEGRATED DESIGN ENGINEERS, LLC","1424 FOURTH AVE., SUITE 909",,SEATTLE,WA,KING,98101,1,2009-08-18,2012-08-17,STRUCTURAL ENGINEER,2009-02-18,5.0,CIVIL ENGINEERING OCCUPATIONS,CERTIFIED,46900,YR,,N,SEATTLE,WA,42515,Other,2008.0,OES,,,,,,,,,,,N
267472,2009-06-30,I-09181-5053177,R,NORTH BIG HORN HOSPITAL,1115 LANE 12,,LOVELL,WY,BIG HORN,82431,1,2009-07-05,2012-07-05,MEDICAL TECHNOLOGIST,2009-06-30,78.0,OCCUPATIONS IN MEDICAL AND DENTAL TECHNOLOGY,CERTIFIED,23,HR,,N,LOVELL,WY,23,Other,2009.0,DOL ONLINE WAGE LIBRARY,,,,,,,,,,,N
81236,2009-02-17,I-09048-4678309,R,"INTEGRATED SOFTWARE SOLUTIONS, INC.",55 PRINCETON HIGHTSTOWN ROAD,#103,PRINCETON JUNCTION,NJ,MERCER,8550,1,2009-02-17,2009-09-30,COMPUTER PROGRAMMER /  ANALYST,2009-02-17,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,55000,YR,,N,PRINCETON JCT,NJ,52624,Other,2009.0,OES  ONLINE WAGE LIBRARY,55000.0,yr,,N,IRVINE,CA,49795.0,Other,2009.0,OES  Online Wage Library,N
125966,2009-03-17,I-09076-4775835,R,CYSTEMS LOGIC INC.,"8350 WILSHIRE BLVD., STE. 200",,BEVERLY HILLS,CA,LOS ANGELES,90211,1,2009-10-01,2012-09-17,MANAGEMENT ANALYST,2009-03-17,161.0,BUDGET AND MANAGEMENT SYSTEMS AND ANALYSIS OCCUPATIONS,DENIED,55000,YR,,N,BEVERLY HILLS,CA,51293,Other,2009.0,OES SEARCH WIZARD,,,,,,,,,,,N
222487,2009-05-12,I-09132-4963515,R,"CYBERTHINK, INC.",1125 US HWY 22,,BRIDGEWATER,NJ,,08807-9837,1,2009-05-13,2011-09-30,PROGRAMMER ANALYST,2009-05-12,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,32,HR,,N,SALT LAKE CITY,UT,32,Other,2008.0,OES,,,,,,,,,,,N
220078,2009-05-11,I-09128-4956131,R,"MEDICAL COLLEGE OF WIS. AFFILIATED HOSPITALS, INC.",8701 WATERTOWN PLANK ROAD,,MILWAUKEE,WI,MILWAUKEE,53226,1,2009-07-01,2012-06-30,RESIDENT PHYSICIAN,2009-05-11,70.0,PHYSICIANS AND SURGEONS,CERTIFIED,50200,YR,,N,MILWAUKEE,WI,45183,Other,2008.0,ASSOC. OF AMERICAN MEDICAL COLLEGES-MIDWEST,,,,,,,,,,,N
156470,2009-03-25,I-09084-4833595,R,THE INSTITUTE FOR NEURODEGENERATIVE DISORDERS,60 TEMPLE STREET    SUITE 8B,,NEW HAVEN,CT,NEW HAVEN,6510,1,2009-09-24,2012-09-23,DIRECTOR OF IMAGING TRANSLATIONAL SCIENCES,2009-03-25,22.0,OCCUPATIONS IN CHEMISTRY,CERTIFIED,140000,YR,,N,NEW HAVEN,CT,113610,Other,2008.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
195552,2009-04-13,I-09049-4680969,R,AREVA T&D INC.,10865 WILLOWS ROAD NE,,REDMOND,WA,KING,98052,1,2009-06-01,2012-05-31,SENIOR SOFTWARE ENGINEER (SR. DATABASE ENGINEER),2009-04-13,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,95000,YR,105000.0,N,REDMOND,WA,78458,Other,2008.0,OES,,,,,,,,,,,N
219661,2009-05-08,I-09128-4957793,R,"BITWISE, INC.",1515 WOODFIELD ROAD,,SCHAUMBURG,IL,COOK,60173,1,2009-10-01,2012-09-30,PROGRAMMER ANALYST,2009-05-08,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,50000,YR,,N,SCHAUMBURG,IL,46301,Other,2009.0,OES ONLINE,,,,,,,,,,,N
244322,2009-06-09,I-09160-5007503,R,FIVE STAR HOLDINGS LLC D/B/A EVERTON AMERICA,58 HAWKS HILL ROAD,,NEW CANAAN,CT,FAIRFIELD,6840,1,2009-10-01,2012-09-30,DIRECTOR OF SPORTS SCIENCE & TECHNICAL DEVELOPMENT,2009-06-09,153.0,OCCUPATIONS IN ATHLETICS AND SPORTS,CERTIFIED,40000,YR,,N,NEW CANAAN,CT,33623,Other,2009.0,ETA ALC DATA SOURCE CENTER,,,,,,,,,,,N
56984,2009-01-14,I-09014-4625959,R,WAYNE STATE UNIVERSITY,42. W. WARREN,,DETROIT,MI,WAYNE,48202,1,2009-02-16,2011-06-30,ASSISTANT PROFESSOR (CLINICAL- EDUCATOR),2009-01-14,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,153,HR,,Y,DETROIT,MI,20,Collective Bargaining Agreement,,,,,,,,,,,,,N
62571,2009-01-23,I-09014-4626507,R,"GE MEDICAL SYSTEMS, LLC.",3000 NORTH GRANDVIEW BLVD.,,WAUKESHA,WI,WAUKESHA,53188,1,2009-05-01,2012-05-01,MR PSD/APPLICATIONS DEVELOPMENT ENGINEER,2009-01-23,3.0,ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS,CERTIFIED,85000,YR,95000.0,N,WAUKESHA,WI,70949,Other,2009.0,OES/ ONLINE WAGE LIBRARY,,,,,,,,,,,N
88551,2009-02-23,I-09054-4694591,R,"ASB RESOURCES, LLC",475 WALL STREET,,PRINCETON,NJ,MERCER,8540,1,2009-03-09,2012-03-08,FINANCIAL  ANALYST,2009-02-23,161.0,BUDGET AND MANAGEMENT SYSTEMS AND ANALYSIS OCCUPATIONS,CERTIFIED,60000,YR,,N,PRINCETON,NJ,54413,Other,2009.0,ONLINE WAGE LIBRARY,60000.0,yr,,N,NEW YORK,NY,58136.0,Other,2009.0,Online Wage Library,N
251965,2009-06-18,I-09168-5021889,R,IBM CORPORATION,3039 CORNWALLIS RD.,,RALEIGH,NC,DURHAM,27709,1,2009-10-10,2012-10-09,PROCESS ENGINEER,2009-06-18,7.0,MECHANICAL ENGINEERING OCCUPATIONS,CERTIFIED,60462,YR,102504.0,N,HOPEWELL JUNCTION,NY,60362,Other,2009.0,OES WAGE DATA,,,,,,,,,,,N
209422,2009-04-28,I-09118-4937101,R,BIDMC/HARVARD UNIVERSITY,1350 MASSACHUSETTS AVENUE,"HOLYOKE CENTER, ROOM 864",CAMBRIDGE,MA,MIDDLESEX,2138,1,2009-07-01,2012-06-30,RESEARCH FELLOW / RESEARCH FELLOW,2009-04-28,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,62593,YR,,N,BOSTON,MA,44138,SESA,,,,,,,,,,,,,N
257927,2009-06-24,I-09168-5021835,R,CLAREMONT MCKENNA COLLEGE,500 EAST NINTH STREET,BAUER CENTER,CLAREMONT,CA,,91711-6400,1,2009-08-01,2012-07-31,ASSISTANT PROFESSOR OF CHEMISTRY,2009-06-24,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,50500,YR,,N,CLAREMONT,CA,42680,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
245074,2009-06-10,I-09161-5009215,R,"XCELTECH, INC",2136  GALLOWS ROAD,SUITE F,DUNN LORING,VA,FAIRFAX,22027,25,2009-10-01,2012-10-01,PROGRAMMER ANALYST,2009-06-10,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,60000,YR,,N,KENILWORTH,NJ,55016,Other,2009.0,OES,60000.0,yr,,N,MONTVALE,NJ,48776.0,Other,2009.0,OES,N
103782,2009-03-05,I-09064-4728463,R,"N.A. KAJANI & ASSOCIATES, INC.",1560 W. BAY AREA BLVD,,FRIENDSWOOD,TX,GALVESTON,77546,1,2009-04-11,2012-04-10,ACCOUNTANTS,2009-03-05,160.0,"ACCOUNTANT, AUDITORS, AND RELATED OCCUPATIONS",CERTIFIED,72000,YR,,N,FRIENDSWOOD,TX,58864,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
254165,2009-06-22,I-09170-5026315,R,"EDAG, INC.",275 REX BOULEVARD,,AUBURN HILLS,MI,OAKLAND,48326,1,2009-12-13,2012-12-12,POWERTRAIN DESIGN ENGINEER,2009-06-22,7.0,MECHANICAL ENGINEERING OCCUPATIONS,CERTIFIED,81000,YR,,N,AUBURN HILLS,MI,67475,Other,2009.0,OES ONLINE WAGE SURVEY,,,,,,,,,,,N
243432,2009-06-08,I-09154-4997269,R,"STAX RESEARCH, INC.",359 GREEN STREET,,CAMBRIDGE,MA,MIDDLESEX,2139,1,2009-10-01,2012-10-01,CONSULTANT,2009-06-08,161.0,BUDGET AND MANAGEMENT SYSTEMS AND ANALYSIS OCCUPATIONS,CERTIFIED,56000,YR,71000.0,N,CAMBRIDGE,MA,55099,Other,2009.0,OES WAGE DATA SURVEY,56000.0,yr,71000.0,N,CHICAGO,IL,45656.0,Other,2009.0,OES Wage Data Survey,N
93954,2009-02-27,I-09058-4706725,R,"CYQUENT, INC.",5410 EDSON LANE,SUITE 210-C,ROCKVILLE,MD,MONTGOMERY,20852,1,2009-02-27,2012-02-26,SAP ANALYST,2009-02-27,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,65000,YR,,N,JACKSONVILLE,FL,64293,Other,2008.0,OES WAGE SURVEY,,,,,,,,,,,N
35742,2008-12-02,I-08337-4582451,R,VANDERBILT UNIVERSITY,OFFICE OF INTERNATIONAL SERVICES,"310 25TH AVE. S., SUITE 103",NASHVILLE,TN,,37240-1107,1,2009-03-01,2012-02-29,RESEARCH FELLOW,2008-12-02,41.0,OCCUPATIONS IN BIOLOGICAL SCIENCES,CERTIFIED,41796,YR,,N,NASHVILLE,TN,41796,Other,2008.0,NIH STIPEND SURVEY,,,,,,,,,,,Y
43984,2008-12-16,I-08347-4595647,R,EL PLANETA PUBLISHING JV LLC,126 BROOKLINE AVE,,BOSTON,MA,SUFFOLK,2115,1,2009-01-01,2011-12-31,EDITOR,2008-12-16,169.0,OTHER OCCUPATIONS IN ADMINISTRATIVE OCCUPATIONS,CERTIFIED,60000,YR,,N,BOSTON,MA,51210,Other,2008.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
26875,2008-11-13,I-08318-4564189,R,"J. RAY MCDERMOTT, INC.",757 N. ELDRIDGE PARKWAY,,HOUSTON,TX,HARRIS,77079,1,2008-11-17,2010-09-30,MATERIALS ENGINEER,2008-11-13,11.0,METALLURGY AND METALLURGICAL ENGINEERING OCCUPATIONS,CERTIFIED,68904,YR,,N,HOUSTON,TX,57325,SESA,,,,,,,,,,,,,N
172319,2009-03-30,I-09089-4862687,R,BROWN UNIVERSITY,"J. WALTER WILSON, SUITE 510",69 BROWN STREET,PROVIDENCE,RI,PROVIDENCE,2912,1,2009-07-01,2010-06-30,POSTDOCTORAL RESEARCH ASSOCIATE,2009-03-30,41.0,OCCUPATIONS IN BIOLOGICAL SCIENCES,CERTIFIED,49000,YR,,N,PROVIDENCE,RI,48568,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
156500,2009-03-25,I-09084-4833695,R,KENT OPTRONICS INC.,40 CORPORATE PARK DRIVE,,HOPEWELL JUNCTION,NY,DUTCHESS,12533,1,2009-09-21,2012-09-21,DATA ANALYST,2009-03-25,39.0,OTHER COMPUTER-RELATED OCCUPATIONS,CERTIFIED,42000,YR,,N,HOPEWELL JUNCTION,NY,39437,SESA,,,,,,,,,,,,,N
139797,2009-03-20,I-09077-4787187,R,WEE BEE KIDS ENTERPRISES LTD,10 WEST 33RD STREET,SUITE 1032,NEW YORK,NY,NEW YORK,10001,1,2009-09-17,2012-09-17,MERCHANDISING SPECIALIST,2009-03-20,169.0,OTHER OCCUPATIONS IN ADMINISTRATIVE OCCUPATIONS,CERTIFIED,19,HR,,Y,NEW YORK,NY,19,Other,2008.0,ONLINE WAGE SOURCE,,,,,,,,,,,N
99995,2009-03-04,I-09063-4720097,R,PATNI AMERICAS INC.,ONE BROADWAY,15TH FLOOR,CAMBRIDGE,MA,MIDDLESEX,2142,1,2009-09-02,2012-09-02,COMPUTER PROGRAMMER,2009-03-04,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,48800,YR,,N,JERSEY CITY,NJ,48776,Other,2008.0,OES,,,,,,,,,,,N
13069,2008-10-22,I-08296-4536183,R,TATA CONSULTANCY SERVICES LIMITED,12300 TWINBROOK PARKWAY,SUITE 420,ROCKVILLE,MD,MONTGOMERY,20852,1,2008-10-22,2011-09-07,COMPUTER PROGRAMMER 2,2008-10-22,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,60000,YR,60000.0,N,O FALLON,MO,52666,Other,2008.0,OES,,,,,,,,,,,N
156300,2009-03-25,I-09084-4833285,R,"ANTHROSCAPE, INC.",444 TOWNSEND ST.,,SAN FRANCISCO,CA,SAN FRANCISCO,94107,1,2009-09-20,2012-09-20,WEB/GRAPHIC DESIGNER,2009-03-25,141.0,"COMMERCIAL ARTISTS: DESIGNERS AND ILLUSTRATORS, GRAPHIC ARTS",CERTIFIED,40206,YR,,N,SAN FRANCISCO,CA,40206,Other,2009.0,OES ONLINE WAGE LIBRARY,,,,,,,,,,,N
33285,2008-11-25,I-08330-4577379,R,TUFTS UNIVERSITY SCHOOL OF MEDICINE,136 HARRISON AVENUE,,BOSTON,MA,SUFFOLK,2111,1,2009-03-13,2012-03-12,FLOW CYTOMETRIST,2008-11-25,41.0,OCCUPATIONS IN BIOLOGICAL SCIENCES,CERTIFIED,62100,YR,,N,BOSTON,MA,37544,SESA,,,,,,,,,,,,,N
259914,2009-06-26,I-09177-5039119,A,ORCHESTRA OF ST. LUKE'S,330 WEST 42ND STREET,,NEW YORK,NY,NEW YORK,10036,1,2009-08-06,2011-08-06,"VICE PRESIDENT, FINANCE AND OPERATIONS",2009-06-26,199.0,"MISCELLANEOUS PROFESSIONAL, TECHNICAL, AND MANAGERIAL OCCUPATIONS",CERTIFIED,95000,YR,,N,NEW YORK,NY,86195,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
207143,2009-04-24,I-09114-4932343,R,STAFFING TREE LLC D.B.A ITREE TECHNOLOGY,1877 ORCHARD LAKE ROAD,SUITE 104,SYLVAN LAKE,MI,OAKLAND,48320,1,2009-10-01,2012-10-01,COMPUTER PROGRAMMER,2009-04-24,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,48000,YR,,N,"FARMINGTON, NOVI, TROY METRO DIV",MI,47549,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
95891,2009-02-28,I-09059-4710933,R,CYMA SYSTEMS INC,776 NORTH MAIN STREET,,MANCHESTER,CT,HARTFORD,6040,1,2009-02-28,2011-05-31,PROGRAMMER ANALYST,2009-02-28,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,60000,YR,,N,SAINT LOUIS,MO,50440,Other,2008.0,ETA FLC DATA CENTER,,,,,,,,,,,N
260046,2009-06-26,I-09177-5039471,R,"DICE TECHNOLOGIES, INC",1701 E WOODFIELD RD,SUITE # 230,SCHAUMBURG,IL,COOK,60173,1,2009-06-29,2010-09-25,COMPUTER SPECIALIST,2009-06-26,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,60000,YR,,N,ALEXANDRIA,VA,57824,Other,2009.0,ONLINE WAGE LIBRARY,,,,,,,,,,,N
245310,2009-06-10,I-09161-5009517,R,"NEXIUS, INC.",12950 WORLDGATE DRIVE #710,,HERNDON,VA,FAIRFAX,20170,1,2009-06-10,2009-10-01,RF ENGINEER,2009-06-10,3.0,ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS,CERTIFIED,62000,YR,,N,REDMOND,WA,53710,Other,2007.0,OES,62000.0,yr,,N,HERNDON,WA,53710.0,Other,2007.0,OES,N
224217,2009-05-13,I-09133-4966903,R,UNIVERSITY OF NEBRASKA MEDICAL CENTER,INTERNATIONAL STUDIES AND PROGRAMS,985735 UNMC,OMAHA,NE,,68198-5735,1,2009-07-01,2012-06-30,HOUSE OFFICER II,2009-05-13,79.0,OTHER OCCUPATIONS IN MEDICINE AND HEALTH,CERTIFIED,4162,MTH,,N,OMAHA,NE,4162,SESA,,,,,,,,,,,,,N
94693,2009-02-27,I-09058-4708247,R,"VAKTECH CORPORATION, LLC",3 CYPRESS CT,,PLAINSBORO,NJ,MIDDLESEX,8536,1,2009-02-27,2009-09-30,PROGRAMMER ANALYST,2009-02-27,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,56347,YR,,N,SAN FRANCISCO,CA,56347,Other,2009.0,OES WAGE SURVEY,,,,,,,,,,,N
53539,2009-01-08,I-09008-4618737,R,TENNESSEE STATE UNIVERSITY,3500 JOHN A. MERRITT BLVD.,,NASHVILLE,TN,,37209-1561,1,2009-07-08,2012-07-07,ASSISTANT PROFESSOR,2009-01-08,90.0,OCCUPATIONS IN COLLEGE AND UNIVERSITY EDUCATION,CERTIFIED,52000,YR,,N,NASHVILLE,TN,49463,Other,2008.0,OES ONLINE WAGE LIBRARY,,,,,,,,,,,N
207075,2009-04-24,I-09114-4932179,R,"ORACLE USA, INC.",500 ORACLE PARKWAY,,REDWOOD SHORES,CA,SAN MATEO,94065,1,2009-10-01,2012-10-01,SOFTWARE ENGINEER (DATABASE ADMINISTRATOR),2009-04-24,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,81400,YR,98000.0,N,REDWOOD SHORES,CA,81400,Other,2008.0,WATSON WYATT,,,,,,,,,,,N
61847,2009-01-22,I-09022-4636573,R,"TECHNICAL DATA ANALYSIS, INC.",7600A LEESBURG PIKE,SUITE 204,FALLS CHURCH,VA,FAIRFAX,22043,1,2009-02-02,2011-09-12,SOFTWARE DEVELOPER,2009-01-22,15.0,NUCLEAR ENGINEERING OCCUPATIONS,CERTIFIED,90000,YR,,N,FALLS CHURCH,VA,60778,Other,2008.0,OES,,,,,,,,,,,N
160922,2009-03-26,I-09085-4836215,R,ACCENTURE TECHNOLOGY SOLUTIONS,161 N. CLARK STREET,,CHICAGO,IL,COOK,60601,15,2009-09-02,2012-08-23,ANALYST PROGRAMMER 2,2009-03-26,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,68000,YR,,N,CHARLOTTE,NC,67974,Other,2008.0,OES,,,,,,,,,,,N
183765,2009-04-02,I-09092-4884451,R,"PREMIER IT SOLUTIONS, INC",801 E CAMPBELL RD,STE # 310,RICHARDSON,TX,DALLAS,75081,1,2009-10-01,2012-09-30,SYSTEMS ADMINSTRATOR,2009-04-02,30.0,OCCUPATIONS IN SYSTEMS ANALYSIS AND PROGRAMMING,CERTIFIED,50000,YR,,N,DALLAS METRO AREA,TX,46987,Other,2008.0,OES,,,,,,,,,,,N
231250,2009-05-21,I-09141-4980891,R,ALLIED MARINE LLC,401 S.W. 1ST AVENUE,,FORT LAUDERDALE,FL,BROWARD,33301,1,2009-10-01,2012-09-30,AFTER SALES MANAGER,2009-05-21,14.0,MARINE ENGINEERING OCCUPATIONS,CERTIFIED,61500,YR,,N,FORT LAUDERDALE,FL,61464,SESA,,,,,,,,,,,,,N
