,LCA_CASE_NUMBER,STATUS,LCA_CASE_SUBMIT,Decision_Date,VISA_CLASS,LCA_CASE_EMPLOYMENT_START_DATE,LCA_CASE_EMPLOYMENT_END_DATE,LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,LCA_CASE_WAGE_RATE_TO,LCA_CASE_WAGE_RATE_UNIT,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,PW_1,PW_UNIT_1,PW_SOURCE_1,OTHER_WAGE_SOURCE_1,YR_SOURCE_PUB_1,LCA_CASE_WORKLOC2_CITY,LCA_CASE_WORKLOC2_STATE,PW_2,PW_UNIT_2,PW_SOURCE_2,OTHER_WAGE_SOURCE_2,YR_SOURCE_PUB_2,LCA_CASE_NAICS_CODE
64934,I-200-09246-248709,CERTIFIED,2009-09-03,2009-09-10,H-1B,2009-09-03,2012-09-02,E-BASE TECHNOLOGIES INC,39159 PASEO PADRE PKWY,FREMONT,CA,94538,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,35.5,,Hour,Y,1.0,FREMONT,CA,30.99,Hour,Other,OFLC ONLINE DATA CENTER,2009.0,SAN FRANCISCO,CA,35.21,Hour,Other,OFLC ONLINE DATA CENTER,2009.0,541511.0
82238,I-200-09266-702724,CERTIFIED,2009-09-23,2009-09-29,H-1B,2010-01-04,2013-01-03,"SAAMA TECHNOLOGIES, INC.",900 E HAMILTON AVE,CAMPBELL,CA,95008,15-1021.00,Computer Programmers,SOFTWARE ENGINEER,88000.0,,Year,Y,1.0,LIVERMORE,CA,65229.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,REDWOOD CITY,CA,71386.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,541511.0
76012,I-200-09259-751420,CERTIFIED,2009-09-18,2009-09-24,H-1B,2009-11-03,2012-11-02,WEBB COUNTY APPRAISAL DISTRICT,3302 CLARK BOULEVARD,LAREDO,TX,78043-,15-1071.00,Network and Computer Systems Administrators,COMPUTER SYS ADMIN / COMPUTER OPERATIONS MGR,60278.4,,Year,Y,1.0,LAREDO,TX,45427.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,921130.0
25471,I-200-09209-126243,DENIED,2009-07-28,2009-07-31,H-1B,2009-10-01,2012-09-30,BINEX LINE INC,200 N SEPULVEDA BLVD #1610,EL SEGUNDO,CA,90245,15-1051.00,Computer Systems Analysts,SYSTEMS ANALYSIS,22.88,25.0,Hour,Y,1.0,EL SEGUNDO,CA,22.88,Hour,OES,OES WAGE DATA,2008.0,,,,,,,,541614.0
21519,I-200-09203-830267,CERTIFIED,2009-07-22,2009-07-28,H-1B,2009-09-30,2012-09-30,LUMMUS TECHNOLOGY INC.,1515 BROAD STREET,BLOOMFIELD,NJ,7003,17-2041.00,Chemical Engineers,SENIOR DEVELOPMENT ENGINEER,90583.0,,Year,Y,1.0,BLOOMFIELD,NJ,83999.0,Year,Other,ECONOMIC RESEARCH INSTITUTE,2009.0,,,,,,,,541330.0
31149,I-200-09212-514440,CERTIFIED-WITHDRAWN,2009-08-06,2009-08-12,H-1B,2009-10-01,2012-09-30,VERINON TECHNOLOGY SOLUTIONS LTD.,3395 NORTH ARLINGTON HEIGHTS ROAD,ARLINGTON HEIGHTS,IL,60004,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,65000.0,,Year,Y,1.0,"ARLINGTON HEIGHTS ,",IL,64085.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,ELK GROVE,CA,60299.0,Year,Other,OFLC ONLINE DATA,2009.0,541511.0
41796,I-200-09225-237168,CERTIFIED,2009-08-14,2009-08-20,H-1B,2009-12-09,2012-12-09,GRAPECITY INC.,401 PARKPLACE,KIRKLAND,WA,98033-,11-9199.99,"Managers, All Other","DIRECTOR, CSV OPERATIONS",65000.0,,Year,Y,1.0,ARCADIA,CA,64085.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541519.0
51649,I-200-09236-977480,DENIED,2009-08-24,2009-08-25,H-1B,2009-10-01,2012-09-30,PACIFIC DECORATION INC.,4040 LEBANON PIKE,HERMITAGE,TN,37076,19-3021.00,Market Research Analysts,MARKET RESEARCH ANALYST,17.12,,Hour,Y,1.0,HERMITAGE,TN,17.12,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,453998.0
35400,I-200-09218-097038,DENIED,2009-08-12,2009-08-17,H-1B,2009-09-30,2012-09-29,UP & AWAY TRAVEL,11240 WAPLES MILL ROAD,FAIRFAX,VA,22030,2021-11-01 00:00:00,Marketing Managers,MARKETING MANAGER,53872.0,,Year,Y,1.0,FAIRFAX,VA,48500.0,Year,Other,HRA-NCA 2008 COMPENSATION SURVEY,2008.0,,,,,,,,561510.0
20408,I-200-09203-098590,CERTIFIED,2009-07-22,2009-07-28,H-1B,2009-12-09,2012-12-08,INTELLEFLEX CORPORATION,2465 AUGUSTINE DRIVE,SANTA CLARA,CA,95054-,17-2072.00,"Electronics Engineers, Except Computer",RF SYSTEMS/DESIGN ENGINEER,75693.0,,Year,Y,1.0,SANTA CLARA,CA,74693.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,334511.0
5853,I-200-09183-734945,CERTIFIED,2009-07-02,2009-07-09,H-1B,2009-07-06,2012-07-05,MAJESCOMASTEK,105 FIELDCREST AVENUE,EDISON,NJ,8837,15-1051.00,Computer Systems Analysts,PROJECT LEAD,71240.16,,Month,Y,1.0,REDMOND,WA,68474.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
27474,I-200-09210-117805,CERTIFIED-WITHDRAWN,2009-07-29,2009-09-14,H-1B,2009-10-01,2012-09-30,"PATNI AMERICAS, INC.",ONE BROADWAY,CAMBRIDGE,MA,2142,15-1021.00,Computer Programmers,COMPUTER PROGRAMMER,65800.0,,Year,Y,1.0,BLOOMINGTON,IL,65770.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
53743,I-200-09238-439449,CERTIFIED,2009-08-26,2009-09-01,H-1B,2009-11-01,2012-10-31,GRAND VALLEY STATE UNIVERSITY,140 LAKE MICHIGAN HALL,ALLENDALE,MI,49401,25-1122.00,"Communications Teachers, Postsecondary",ASSISTANT PROFESSOR - COMMUNICATIONS,50750.0,,Year,Y,1.0,ALLENDALE,MI,38210.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,611310.0
32737,I-200-09215-933229,DENIED,2009-08-03,2009-08-07,H-1B,2009-08-15,2012-08-14,"EFT ENERGY, INC.","345 PARK AVENUE, 17TH FLOOR",NEW YORK,NY,10154,17-2199.99,"Engineers, All Other",TECHNICAL SUPPORT ENGINEER,75000.0,,Year,Y,1.0,NEW YORK,NY,69534.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541618.0
33213,I-200-09216-329450,DENIED,2009-08-04,2009-08-12,H-1B,2009-08-04,2012-08-04,"NUMIA MEDICAL TECHNOLOGY, LLC",602 MAIN STREET,LYNDONVILLE,VT,5851,17-2199.99,"Engineers, All Other",COMPUTER SOFTWARE ENGINEER,80330.0,,Month,Y,1.0,LYNDONVILLE,VT,80330.0,Year,Other,OWL,2009.0,,,,,,,,33911.0
42420,I-200-09225-719006,DENIED,2009-08-13,2009-08-18,H-1B,2009-10-01,2012-09-30,"VORTALSOFT, INC",100 DAVIDSON AVE,SOMERSET,NJ,8873,15-1051.00,Computer Systems Analysts,SYSTEMS ANALYST,65000.0,,Year,Y,1.0,SOMERSET,NJ,63294.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,MOUNT OLIVE,NJ,64771.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,541511.0
44299,I-200-09229-261929,CERTIFIED-WITHDRAWN,2009-08-17,2009-08-21,H-1B,2009-11-15,2012-11-14,UNIVERSITY OF ILLINOIS,610 E JOHN STREET,CHAMPAIGN,IL,61820,17-2081.00,Environmental Engineers,POSTDOCTORAL RESEARCH ASSOCIATE,42500.0,,Year,Y,1.0,URBANA,IL,40955.0,Year,OES,,2009.0,,,,,,,,611310.0
66821,I-200-09247-832466,DENIED,2009-09-04,2009-09-09,H-1B,2009-10-01,2012-09-30,"FANTAGE COM, INC","21 GRAND AVE., SUITE 122",PALISADES PARK,NJ,7650,15-1021.00,Computer Programmers,COMPUTER PROGRAMMER,23.45,,Hour,N,1.0,PALISADES PARK,NJ,23.45,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,516110.0
15912,I-200-09197-426687,CERTIFIED,2009-07-28,2009-08-03,H-1B,2009-10-01,2012-09-30,"BATTA LABORATORIES, INC.",DELAWARE INDUSTRIAL PARK,NEWARK,DE,19713-5817,17-3025.00,Environmental Engineering Technicians,ENVIRONMENTAL ENGINEERING TECHNICIAN,20.27,,Hour,Y,1.0,NEWARK,DE,20.27,Hour,OES,OES,2009.0,,,,,,,,541380.0
56381,I-200-09239-574803,CERTIFIED,2009-08-27,2009-09-02,H-1B,2009-10-01,2012-10-01,BIRLASOFT INC.,2035 LINCOLN HIGHWAY,EDISON,NJ,8817,15-1051.00,Computer Systems Analysts,SYSTEMS ANALYST,50500.0,,Year,Y,1.0,UNIVERSAL CITY,CA,50232.0,Year,Other,DOL ONLINE FLC DATA CENTER,2009.0,,,,,,,,541511.0
78165,I-200-09261-413344,CERTIFIED-WITHDRAWN,2009-09-18,2009-09-25,H-1B,2009-10-01,2011-09-30,"MEDICAL DYNAMIC SYSTEMS, INC.",229 EAST 21ST STREET,NEW YORK,NY,10010,15-1061.00,Database Administrators,DATABASE ADMINISTRATOR,26.37,,Hour,Y,1.0,NEW YORK,NY,26.37,Hour,OES,'OFLC ONLINE DATA CENTER',2009.0,,,,,,,,621610.0
72408,I-200-09257-079084,DENIED,2009-09-14,2009-09-17,H-1B,2009-10-01,2012-09-30,"INTELLINX SOFTWARE, INC.",560 SYLVAN AVE.,ENGLEWOOD CLIFFS,NJ,7632,15-1031.00,"Computer Software Engineers, Applications",IMPLEMENTATION ENGINEER,80475.0,,Year,Y,1.0,ENGLEWOOD CLIFFS,NJ,80475.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
79202,I-200-09264-197453,CERTIFIED,2009-09-21,2009-09-25,H-1B,2009-10-24,2012-10-23,THE CANTOR SEINUK GROUP INC.,228 E. 45TH STREET,NEW YORK,NY,10017,17-2051.00,Civil Engineers,CIVIL/STRUCTURAL ENGINEER,58000.0,,Year,Y,1.0,NEW YORK,NY,54558.0,Year,OES,OFLC ONLINE DATA CENTER,2008.0,,,,,,,,541330.0
32077,I-200-09215-378944,DENIED,2009-08-03,2009-08-05,H-1B,2009-08-31,2012-08-30,"LATTICE ENGINES, INC.",TEN LIBERTY SQUARE,BOSTON,MA,2109,15-1031.00,"Computer Software Engineers, Applications",SENIOR ANALYST,90000.0,,Year,Y,1.0,NEW YORK,NY,80475.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541512.0
6471,I-200-09187-377115,WITHDRAWN,2009-08-05,2009-08-07,H-1B,2009-10-01,2012-10-01,THE REGENCE GROUP,200 SW MARKET STREET,PORTLAND,OR,97207,15-1031.00,"Computer Software Engineers, Applications",COMPUTER SOFTWARE ENGINEER (DEVELOPER IV),85000.0,,Year,Y,1.0,PORTLAND,UT,77397.0,Year,OES,,2009.0,,,,,,,,541512.0
58825,I-200-09240-463112,CERTIFIED,2009-08-28,2009-09-03,H-1B,2009-10-01,2011-03-31,"INTEGRATED SOFTWARE SOLUTIONS, INC",666 PLAINSBORO ROAD,PLAINSBORO,NJ,8536,15-1021.00,Computer Programmers,PROGRAMMER / QA ANALYST,66500.0,,Year,Y,1.0,PLAINSBORO,NJ,66310.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,IRVINE,CA,64168.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,541511.0
41741,I-200-09225-195514,CERTIFIED,2009-08-13,2009-08-19,H-1B,2009-08-14,2012-08-14,OPEN SYSTEMS TECHNOLOGIES INC,"950 N. KINGS HIGHWAY, SUITE # 100",CHERRY HILL,NJ,08034-,15-1051.00,Computer Systems Analysts,PROGRAMMER ANALYST,100000.0,,Year,Y,1.0,NEW YORK,NY,91957.0,Year,Other,WWW.FLCDATACENTER.COM,2009.0,,,,,,,,541511.0
60194,I-200-09240-938636,CERTIFIED,2009-08-28,2009-09-03,H-1B,2009-09-14,2012-09-13,LOTUS INTERNATIONAL COMPANY,6880 COMMERCE BLVD.,CANTON,MI,48187,17-2072.00,"Electronics Engineers, Except Computer",ELECTRONICS ENGINEER,60091.0,,Year,Y,1.0,CANTON,MI,59155.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,334111.0
43237,I-200-09226-442068,CERTIFIED,2009-08-14,2009-08-20,H-1B,2009-10-01,2012-10-01,"GALLOP TECHNOLOGIES, INC.",300 E. ROYAL LN,IRVING,TX,75039-,15-1051.00,Computer Systems Analysts,PROGRAMMER/ ANALYST,67600.0,,Year,Y,1.0,SUNSET HILLS,MO,51646.0,Year,Other,OLFC ONLINE DATA CENTER,2009.0,IRVING,TX,47736.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,541511.0
52934,I-200-09238-083266,CERTIFIED,2009-08-26,2009-09-01,H-1B,2009-10-01,2012-09-30,"KEANE, INC.","KEANE, INC.,",BOSTON,MA,2129,15-1051.00,Computer Systems Analysts,COMPUTER SYSTEMS ANALYSTS,75000.0,120000.0,Year,Y,1.0,SAN DIEGO,CA,65062.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
83040,I-200-09267-371552,CERTIFIED,2009-09-24,2009-09-24,H-1B,2009-11-01,2012-10-31,LARSEN & TOUBRO INFOTECH LIMITED,"2035 LINCOLN HIGHWAY, EDISON SQUARE WEST",EDISON,NJ,08817-,15-1021.00,Computer Programmers,COMPUTER PROGRAMMER,46010.0,,Year,Y,1.0,HILLSBORO,OR,46010.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541512.0
37700,I-200-09222-056396,DENIED,2009-09-09,2009-09-15,H-1B,2009-09-14,2012-09-13,"SAN DIEGO DIALYSIS SERVICES, INC.","5251 DTC PARKWAY, SUITE 500",GREENWOOD VILLAGE,CO,80111-,29-1111.00,Registered Nurses,ACUTE REGISTERED NURSE,60278.0,66560.0,Year,Y,1.0,SAN DIEGO,CA,60278.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,621399.0
4305,I-200-09177-716823,DENIED,2009-07-02,2009-07-07,H-1B,2009-08-10,2012-08-10,"BLUE COAT SYSTEMS, INC.",420 N. MARY AVENUE,SUNNYVALE,CA,94085-4121,15-1051.00,Computer Systems Analysts,SENIOR SOFTWARE DEVELOPMENT ENGINEER,85200.0,,Year,Y,1.0,SUNNYVALE,CA,82430.0,Year,OES,OFLC ONLINE DATA CENTER,2008.0,,,,,,,,54151.0
52861,I-200-09238-057912,CERTIFIED,2009-08-26,2009-09-01,H-1B,2009-11-14,2010-11-13,"CONSULTANTS EXCHANGE (USA), INC.",11715 SE 5TH STREET SUITE 200,BELLEVUE,WA,98005,15-1071.00,Network and Computer Systems Administrators,UNIX/VMS SYSTEMS TEAM LEADER,130000.0,,Year,Y,1.0,JERSEY CITY,NJ,58032.0,Year,OES,,2009.0,,,,,,,,561330.0
8913,I-200-09189-754356,CERTIFIED,2009-07-10,2009-07-16,H-1B,2009-07-15,2012-07-14,"MOBITV, INC.",6425 CHRISTIE AVENUE,EMERYVILLE,CA,94608,11-9041.00,Engineering Managers,"MANAGER, PRODUCT DEVELOPMENT",112100.0,168100.0,Year,Y,1.0,EMERYVILLE,CA,110635.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
37142,I-200-09219-606202,CERTIFIED,2009-08-07,2009-08-13,H-1B,2009-10-01,2012-10-01,AGA GLOBAL RESOURCES CORPORATION,155 SOUTH ROUTE 303,CONGERS,NY,10920,31-9099.99,"Healthcare Support Workers, All Other",CARE CASE MANAGEMENT SPECIALIST,49000.0,,Year,Y,1.0,CONGERS,NY,38168.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,621310.0
22001,I-200-09204-190272,CERTIFIED,2009-07-29,2009-08-04,H-1B,2009-08-15,2012-08-15,"GOLDMAN, SACHS & CO.",85 BROAD STREET,NEW YORK,NY,10004-,13-2051.00,Financial Analysts,INTERMEDIATE ASSOCIATE,170000.0,,Year,Y,1.0,NEW YORK,NY,136365.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,523110.0
70984,I-200-09254-052699,CERTIFIED,2009-09-11,2009-09-17,H-1B,2009-10-01,2012-09-25,JASANI'S INTERNATIONAL INC,8511 MORMON CHURCH ROAD,SILSBEE,TX,77656-,19-3021.00,Market Research Analysts,MARKET RESEARCH ANALYST,26083.0,,Year,Y,1.0,SILSBEE,TX,26083.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,447110.0
31327,I-200-09212-731353,CERTIFIED,2009-08-05,2009-08-11,H-1B,2009-10-01,2012-09-30,"NASC, INC.",47 WATER STREET,MYSTIC,CT,6355,27-2022.00,Coaches and Scouts,REGIONAL PHYSICAL EDUCATION & SPORTS INSTRUCTOR,40000.0,,Year,Y,1.0,MYSTIC,CT,23490.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,611620.0
42831,I-200-09226-047060,CERTIFIED,2009-08-14,2009-08-20,H-1B,2010-02-09,2013-02-08,"THOMPSON, COBB, BAZILIO & ASSOCIATES, PC","1101 15TH STREET, NW",WASHINGTON,DC,20005,15-1071.01,Computer Security Specialists,IT AUDITOR/CONSULTANT,50523.0,,Year,Y,1.0,WASHINGTON,DC,50523.0,Year,OES,OFLC DATA CENTER,2009.0,,,,,,,,541211.0
28259,I-200-09210-536883,DENIED,2009-07-29,2009-08-05,H-1B,2009-10-01,2012-09-30,PROFESSIONAL INTERIOR CONSTRUCTION,37 GREENPOINT AVENUE  SUITE 1E,BROOKLYN,NY,11222,17-2112.00,Industrial Engineers,PRODUCTION ENGINEER,58893.0,,Year,Y,1.0,BROOKLYN,NY,58614.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,337212.0
11406,I-200-09191-882066,CERTIFIED,2009-07-15,2009-07-21,H-1B,2009-07-15,2011-12-31,"LEGALZOOM.COM, INC.",7083 HOLLYWOOD BLVD.,LOS ANGELES,CA,90028,15-1051.00,Computer Systems Analysts,SENIOR PROGRAMMER/ANALYST,96803.0,,Year,Y,1.0,LOS ANGELES,CA,96803.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541199.0
17616,I-200-09199-567480,DENIED,2009-07-18,2009-07-23,H-1B,2009-10-01,2012-09-30,"STRATEGIC RESOURCES INTERNATIONAL, INC.",777 WASHINGTON RD,PARLIN,NJ,8859,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,60000.0,,Year,Y,1.0,WEST DES MOINES,NJ,49795.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
55901,I-200-09239-355907,CERTIFIED,2009-08-27,2009-09-02,H-1B,2009-10-01,2012-09-30,MCL SYSTEMS LIMITED,10550 LINDEN LAKE PLAZA,MANASSAS,VA,20109,15-1021.00,Computer Programmers,COMPUTER PROGRAMMER,57000.0,,Year,Y,1.0,MANASSAS,VA,56680.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,51121.0
56201,I-200-09239-499160,CERTIFIED,2009-08-27,2009-09-02,H-1B,2009-09-21,2012-09-21,"SABER SOFTWARE, INC.",5555 GLENDON COURT,DUBLIN,OH,43016-,15-1099.01,Software Quality Assurance Engineers and Testers,TEST LEAD,63000.0,78000.0,Year,Y,4.0,OLYMPIA,WA,62982.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
12998,I-200-09195-076662,CERTIFIED,2009-07-14,2009-07-20,H-1B,2009-08-03,2012-08-02,"ARIENE, INC",ARIENE INC,SOUTH PLAINFIELD,NJ,7080,15-1021.00,Computer Programmers,PROGRAMMER ANALYST,53227.0,,Year,N,1.0,SOUTH PLAINFIELD,NJ,53227.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,MORRISVILLE,NC,44491.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,541512.0
24912,I-200-09208-691463,CERTIFIED,2009-07-31,2009-08-06,H-1B,2009-10-01,2010-09-30,THE OHIO STATE UNIVERSITY,1712 NEIL AVENUE,COLUMBUS,OH,43210,19-2012.00,Physicists,POST DOCTORAL RESEARCHER,42000.0,,Year,Y,1.0,COLUMBUS,OH,38334.0,Year,OES,,2009.0,,,,,,,,611310.0
44835,I-200-09229-700192,DENIED,2009-09-11,2009-09-17,H-1B,2009-10-01,2012-09-30,DEREX TECHNOLOGIES INC,111 S FRANK E RODGERS BLVD,HARRISON,NJ,7029,15-1021.00,Computer Programmers,COMPUTER PROGRAMMER,44000.0,,Year,Y,1.0,ROCHESTER,NY,41662.0,Year,Other,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
48109,I-200-09232-224916,CERTIFIED,2009-08-20,2009-08-26,H-1B,2009-10-01,2012-09-30,INTUIT INC.,2800 E. COMMERCE CENTER PLACE,TUCSON,AZ,85706,15-1031.00,"Computer Software Engineers, Applications",SENIOR SOFTWARE ENGINEER,132000.0,,Year,Y,1.0,MOUNTAIN VIEW,CA,125445.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541512.0
61013,I-200-09243-283388,CERTIFIED,2009-08-31,2009-09-04,H-1B,2009-12-07,2010-10-06,"PATNI AMERICAS, INC.",ONE BROADWAY,CAMBRIDGE,MA,2142,15-1051.00,Computer Systems Analysts,COMPUTER SYSTEMS ANALYSTS,65800.0,,Year,Y,1.0,IRWINDALE,CA,65749.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541511.0
3229,I-200-09161-797606,WITHDRAWN,2009-06-11,2009-07-17,H-1B,2009-08-01,2011-11-30,UNIVERSITY OF MICHIGAN,"PIERPONT COMMONS, INTERNATIONAL CENTER",ANN ARBOR,MI,48109,25-1071.00,"Health Specialties Teachers, Postsecondary",ASSISTANT PROFESSOR,95000.0,,Year,Y,1.0,ANN ARBOR,MI,55631.0,Year,Other,CUPA FACULTY SALARY SURVEY,2008.0,,,,,,,,611310.0
40570,I-200-09224-316266,DENIED,2009-08-17,2009-08-21,H-1B,2009-09-29,2012-09-28,"METROPOLITAN ARCHITECTS AND PLANNERS, INC.",1505 PRINCE STREET,ALEXANDRIA,VA,22314,17-1011.00,"Architects, Except Landscape and Naval",ARCHITECT/PLANNER,70000.0,,Year,Y,1.0,ALEXANDRIA,VA,66206.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541310.0
48973,I-200-09232-848607,CERTIFIED,2009-08-20,2009-08-26,H-1B,2009-10-01,2012-09-30,"USA CORPORATE SERVICES, INC.",19 W. 34TH STREET,NEW YORK,NY,10001,23-2092.00,Law Clerks,LEGAL COMPLIANCE OFFICER,20.0,,Hour,N,1.0,NEW YORK,NY,18.18,Hour,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,561110.0
32430,I-200-09215-656580,DENIED,2009-08-03,2009-08-05,H-1B,2009-10-01,2012-09-30,ROSEMEAD COLLEGE OF ENGLISH,8705 E. VALLEY BLVD.,ROSEMEAD,CA,91770,27-3042.00,Technical Writers,TECHNICAL WRITER/TRANSLATOR,50211.2,,Year,Y,1.0,ROSEMEAD,CA,24.14,Hour,OES,,2009.0,,,,,,,,611630.0
5724,I-200-09183-545698,DENIED,2009-07-05,2009-07-09,H-1B,2010-01-02,2013-01-01,HANSFORD COUNTY HOSPITAL DISTRICT,707 S. ROLAND,SPEARMAN,TX,79081,29-2011.00,Medical and Clinical Laboratory Technologists,MEDICAL TECHNOLOGIST,16.98,,Hour,Y,1.0,SPEARMAN,TX,16.98,Hour,OES,,2009.0,,,,,,,,621511.0
46350,I-200-09230-894153,CERTIFIED,2009-08-18,2009-08-24,H-1B,2009-10-01,2012-09-30,ABB INC.,12040 REGENCY PARKWAY,CARY,NC,27518,17-2071.00,Electrical Engineers,CONSULTING (ELECTRICAL) ENGINEER,76000.0,,Year,Y,1.0,RALEIGH,NC,74942.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,335311.0
3158,I-200-09160-956684,CERTIFIED,2009-06-09,2009-06-15,H-1B,2009-10-01,2012-10-01,BANK OF IRELAND,300 FIRST STAMFORD PLACE,STAMFORD,CT,06902-,13-2051.00,Financial Analysts,ASSOCIATE - LEVERAGE FINANCE,100000.0,150000.0,Year,Y,1.0,STAMFORD,CT,93642.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,522110.0
70836,I-200-09253-932451,CERTIFIED,2009-09-10,2009-09-16,H-1B,2009-10-01,2012-10-01,JALARAMBAPA INC.,24 BIG BOOM ROAD,QUEENSBURY,NY,12804,13-2011.00,Accountants and Auditors,SR. ACCOUNTANT,45000.0,,Year,Y,1.0,QUEENSBURY,NY,45000.0,Year,OES,,2009.0,,,,,,,,721110.0
13352,I-200-09195-388144,CERTIFIED,2009-07-16,2009-07-22,H-1B,2009-07-16,2010-04-24,DLA PIPER LLP (US),6225 SMITH AVENUE,BALTIMORE,MD,21209-,23-1011.00,Lawyers,ASSOCIATE ATTORNEY,86882.0,,Year,Y,1.0,NEW YORK,NY,86882.0,Year,Other,FLCDATACENTER,2009.0,,,,,,,,541110.0
12476,I-200-09194-652499,CERTIFIED,2009-07-13,2009-07-17,H-1B,2009-07-13,2012-07-13,LARK TECH INC,"SUITE 200,CENTENNIAL AVE",PISCATAWAY,NJ,8854,15-1099.99,"Computer Specialists, All Other",SENIOR SAP CONSULTANT,65000.0,65000.0,Year,Y,1.0,BOSTON,MA,64355.0,Year,Other,ONLINE WAGE LIBRARY,2009.0,PISCATAWAY,NJ,50918.0,Year,Other,ONLINE WAGE LIBRARY,2009.0,541511.0
25742,I-200-09209-260631,CERTIFIED,2009-07-28,2009-08-03,H-1B,2009-10-01,2012-09-30,PACKEDBITS INC.,"5201 GREAT AMERICA PKWY, SUITE # 426",SANTA CLARA,CA,95054,15-1099.99,"Computer Specialists, All Other",COMPUTER SPECIALIST/PROGRAMMER ANALYST,60000.0,60000.0,Year,Y,1.0,SANTA CLARA,CA,55474.0,Year,OES,OFLC ONLINE DATA CENTER,2009.0,,,,,,,,541490.0
85177,I-200-09271-498272,CERTIFIED-WITHDRAWN,2009-09-28,2009-09-29,H-1B,2010-02-11,2013-02-10,TEXAS A&M UNIVERSITY - KINGSVILLE,700 UNIVERSITY BLVD.,KINGSVILLE,TX,78363-,25-1032.00,"Engineering Teachers, Postsecondary",ASSISTANT PROFESSOR,71320.0,,Year,Y,1.0,KINGSVILLE,TX,50920.0,Year,OES,,2009.0,,,,,,,,611310.0
